,Model,Train,Question ID,Correct,Source,Topic,Labels,Case Study,Test Question,Num Choices,Num Correct,APDVS,CC1
96,microsoft/Phi-4-mini-instruct,RAG_500,19,0,racs,venuous disease,None,0,0,4,2,0,0
97,microsoft/Phi-4-mini-instruct,RAG_500,22.1,0,case_studies,lower extremity arterial disease,None,1,1,4,3,0,0
98,microsoft/Phi-4-mini-instruct,RAG_500,410,1,case_studies,endovascular surgery,None,0,1,5,1,0,1
99,microsoft/Phi-4-mini-instruct,RAG_500,80,1,prep,other,None,1,0,4,1,0,1
100,microsoft/Phi-4-mini-instruct,RAG_500,57.2,0,case_studies,venuous disease,None,0,1,5,3,0,0
101,microsoft/Phi-4-mini-instruct,RAG_500,39.5,1,case_studies,venuous disease,None,1,0,5,1,0,1
102,microsoft/Phi-4-mini-instruct,RAG_500,54.5,0,case_studies,venuous disease,None,1,0,5,2,0,0
103,microsoft/Phi-4-mini-instruct,RAG_500,368,1,apdvs,carotid disorders,None,1,0,5,1,1,1
104,microsoft/Phi-4-mini-instruct,RAG_500,20.2,0,case_studies,lower extremity arterial disease,None,1,0,4,1,0,1
105,microsoft/Phi-4-mini-instruct,RAG_500,57.3,0,case_studies,venuous disease,None,0,0,5,3,0,0
106,microsoft/Phi-4-mini-instruct,RAG_500,40.1,0,case_studies,venuous disease,None,1,0,5,2,0,0
107,microsoft/Phi-4-mini-instruct,RAG_500,5b,1,apdvs,lower extremity arterial disease, sq,1,0,4,1,1,1
108,microsoft/Phi-4-mini-instruct,RAG_500,45.8,1,case_studies,lower extremity arterial disease,None,0,0,5,1,0,1
109,microsoft/Phi-4-mini-instruct,RAG_500,43.3,1,case_studies,venuous disease,None,1,0,7,1,0,1
110,microsoft/Phi-4-mini-instruct,RAG_500,25,1,racs,venuous disease,None,0,1,4,2,0,0
111,microsoft/Phi-4-mini-instruct,RAG_500,378,1,apdvs,aortic disorders,None,0,1,5,1,1,1
112,microsoft/Phi-4-mini-instruct,RAG_500,444,1,case_studies,venuous disease,None,0,1,4,3,0,0
113,microsoft/Phi-4-mini-instruct,RAG_500,34.4,1,case_studies,carotid disorders,None,1,1,4,1,0,1
114,microsoft/Phi-4-mini-instruct,RAG_500,39.1,0,case_studies,venuous disease,None,1,0,7,3,0,0
115,microsoft/Phi-4-mini-instruct,RAG_500,450,0,case_studies,lower extremity arterial disease,None,0,0,4,1,0,1
116,microsoft/Phi-4-mini-instruct,RAG_500,18.4,0,case_studies,lower extremity arterial disease,None,1,0,5,1,0,1
117,microsoft/Phi-4-mini-instruct,RAG_500,33.3,0,case_studies,lower extremity arterial disease,None,0,0,5,5,0,0
118,microsoft/Phi-4-mini-instruct,RAG_500,43.2,1,case_studies,lower extremity arterial disease,None,1,0,4,1,0,1
119,microsoft/Phi-4-mini-instruct,RAG_500,30,0,racs,other,None,0,0,4,2,0,0
120,microsoft/Phi-4-mini-instruct,RAG_500,45.1,1,case_studies,lower extremity arterial disease,None,0,0,5,1,0,1
121,microsoft/Phi-4-mini-instruct,RAG_500,403,0,apdvs,other,None,1,0,4,1,1,1
122,microsoft/Phi-4-mini-instruct,RAG_500,52.1,0,case_studies,venuous disease,None,1,0,5,2,0,0
123,microsoft/Phi-4-mini-instruct,RAG_500,32,0,racs,aortic disorders,None,0,0,4,2,0,0
124,microsoft/Phi-4-mini-instruct,RAG_500,47,0,racs,venuous disease,None,0,0,4,2,0,0
125,microsoft/Phi-4-mini-instruct,RAG_500,49.5,1,case_studies,venuous disease,None,1,0,3,1,0,1
126,microsoft/Phi-4-mini-instruct,RAG_500,416,1,case_studies,aortic disorders,None,1,0,4,1,0,1
127,microsoft/Phi-4-mini-instruct,RAG_500,18.8,1,case_studies,lower extremity arterial disease,None,1,0,4,1,0,1
128,microsoft/Phi-4-mini-instruct,RAG_500,18.1,0,case_studies,lower extremity arterial disease,None,1,0,5,4,0,0
129,microsoft/Phi-4-mini-instruct,RAG_500,41.4,0,case_studies,aortic disorders,None,0,0,4,1,0,1
130,microsoft/Phi-4-mini-instruct,RAG_500,51.3,1,case_studies,venuous disease,None,0,0,5,1,0,1
131,microsoft/Phi-4-mini-instruct,RAG_500,409,0,case_studies,aortic disorders,None,0,0,4,3,0,0
132,microsoft/Phi-4-mini-instruct,RAG_500,61,1,racs,aortic disorders,None,0,0,4,2,0,0
133,microsoft/Phi-4-mini-instruct,RAG_500,381,1,apdvs,lower extremity arterial disease,None,1,0,5,1,1,1
134,microsoft/Phi-4-mini-instruct,RAG_500,19.1,0,case_studies,lower extremity arterial disease,None,1,0,4,1,0,1
135,microsoft/Phi-4-mini-instruct,RAG_500,10b,0,apdvs,lower extremity arterial disease, sq,1,0,4,1,1,1
136,microsoft/Phi-4-mini-instruct,RAG_500,41.8,1,case_studies,aortic disorders,None,1,1,4,1,0,1
137,microsoft/Phi-4-mini-instruct,RAG_500,41.ten,1,case_studies,aortic disorders,None,1,0,5,1,0,1
138,microsoft/Phi-4-mini-instruct,RAG_500,21.2,0,case_studies,lower extremity arterial disease,None,0,0,4,1,0,1
139,microsoft/Phi-4-mini-instruct,RAG_500,55.2,1,case_studies,venuous disease,None,1,0,6,1,0,1
140,microsoft/Phi-4-mini-instruct,RAG_500,12,0,racs,other,None,0,1,4,2,0,0
141,microsoft/Phi-4-mini-instruct,RAG_500,414,0,case_studies,aortic disorders,None,0,1,5,1,0,1
142,microsoft/Phi-4-mini-instruct,RAG_500,377,1,apdvs,carotid disorders,None,1,0,5,1,1,1
143,microsoft/Phi-4-mini-instruct,RAG_500,16.4,1,case_studies,aortic disorders,None,1,0,4,1,0,1
144,microsoft/Phi-4-mini-instruct,RAG_500,15.7,0,case_studies,venuous disease,None,1,1,5,2,0,0
145,microsoft/Phi-4-mini-instruct,RAG_500,59,0,racs,carotid disorders,None,0,1,4,2,0,0
146,microsoft/Phi-4-mini-instruct,RAG_500,386,1,apdvs,lower extremity arterial disease,None,1,1,5,1,1,1
147,microsoft/Phi-4-mini-instruct,RAG_500,440,0,case_studies,aortic disorders,None,0,0,5,3,0,0
148,microsoft/Phi-4-mini-instruct,RAG_500,50.5,1,case_studies,venuous disease,None,0,1,5,1,0,1
149,microsoft/Phi-4-mini-instruct,RAG_500,15,0,racs,other,None,0,1,4,3,0,0
150,microsoft/Phi-4-mini-instruct,RAG_500,413,0,case_studies,aortic disorders,None,1,1,5,1,0,1
151,microsoft/Phi-4-mini-instruct,RAG_500,43.ten,1,case_studies,venuous disease,None,1,0,5,1,0,1
152,microsoft/Phi-4-mini-instruct,RAG_500,373,1,apdvs,aortic disorders,None,1,0,5,1,1,1
153,microsoft/Phi-4-mini-instruct,RAG_500,16.6,1,case_studies,endovascular surgery,None,0,0,5,2,0,0
154,microsoft/Phi-4-mini-instruct,RAG_500,28,0,racs,other,None,0,0,4,3,0,0
155,microsoft/Phi-4-mini-instruct,RAG_500,45,0,racs,aortic disorders,None,0,0,4,3,0,0
156,microsoft/Phi-4-mini-instruct,RAG_500,54.6,1,case_studies,venuous disease,None,1,0,4,2,0,0
157,microsoft/Phi-4-mini-instruct,RAG_500,90,0,prep,other,None,1,0,4,1,0,1
158,microsoft/Phi-4-mini-instruct,RAG_500,438,0,case_studies,aortic disorders,None,0,0,5,3,0,0
159,microsoft/Phi-4-mini-instruct,RAG_500,34.2,1,case_studies,lower extremity arterial disease,None,1,0,3,1,0,1
160,microsoft/Phi-4-mini-instruct,RAG_500,17.2,1,case_studies,lower extremity arterial disease,None,1,0,6,1,0,1
161,microsoft/Phi-4-mini-instruct,RAG_500,56.6,0,case_studies,venuous disease,None,1,0,5,1,0,1
162,microsoft/Phi-4-mini-instruct,RAG_500,398,1,apdvs,lower extremity arterial disease,None,0,0,4,1,1,1
163,microsoft/Phi-4-mini-instruct,RAG_500,387,1,apdvs,lower extremity arterial disease,None,0,0,4,1,1,1
164,microsoft/Phi-4-mini-instruct,RAG_500,83,1,prep,venuous disease,None,1,0,4,1,0,1
165,microsoft/Phi-4-mini-instruct,RAG_500,27.ten,0,case_studies,aortic disorders,None,1,0,5,3,0,0
166,microsoft/Phi-4-mini-instruct,RAG_500,23,0,racs,aortic disorders,None,0,0,4,4,0,0
167,microsoft/Phi-4-mini-instruct,RAG_500,15.3,0,case_studies,aortic disorders,None,0,1,5,2,0,0
168,microsoft/Phi-4-mini-instruct,RAG_500,17.4,1,case_studies,lower extremity arterial disease,None,1,0,8,1,0,1
169,microsoft/Phi-4-mini-instruct,RAG_500,62,0,racs,aortic disorders,None,0,0,4,2,0,0
170,microsoft/Phi-4-mini-instruct,RAG_500,24.4,0,case_studies,lower extremity arterial disease,None,0,0,5,5,0,0
171,microsoft/Phi-4-mini-instruct,RAG_500,79,1,prep,venuous disease,None,1,0,4,1,0,1
172,microsoft/Phi-4-mini-instruct,RAG_500,45.2,0,case_studies,lower extremity arterial disease,None,1,0,6,1,0,1
173,microsoft/Phi-4-mini-instruct,RAG_500,22,0,racs,other,None,0,0,4,3,0,0
174,microsoft/Phi-4-mini-instruct,RAG_500,38.6,1,case_studies,other,None,0,0,5,1,0,1
175,microsoft/Phi-4-mini-instruct,RAG_500,50.9,0,case_studies,venuous disease,None,0,0,5,5,0,0
176,microsoft/Phi-4-mini-instruct,RAG_500,427,0,case_studies,lower extremity arterial disease,None,0,0,4,4,0,0
177,microsoft/Phi-4-mini-instruct,RAG_500,44.4,0,case_studies,lower extremity arterial disease,None,0,0,5,2,0,0
178,microsoft/Phi-4-mini-instruct,RAG_500,52.6,0,case_studies,venuous disease,None,1,0,4,2,0,0
179,microsoft/Phi-4-mini-instruct,RAG_500,51.2,0,case_studies,venuous disease,None,0,1,5,1,0,1
180,microsoft/Phi-4-mini-instruct,RAG_500,70,0,abvm,lower extremity arterial disease,None,0,0,4,1,0,1
181,microsoft/Phi-4-mini-instruct,RAG_500,406,1,apdvs,endovascular surgery,None,0,0,4,1,1,1
182,microsoft/Phi-4-mini-instruct,RAG_500,43.6,1,case_studies,venuous disease,None,1,0,5,1,0,1
183,microsoft/Phi-4-mini-instruct,RAG_500,3c,1,apdvs,lower extremity arterial disease, fu,1,0,5,1,1,1
184,microsoft/Phi-4-mini-instruct,RAG_500,32.4,1,case_studies,aortic disorders,None,0,0,5,1,0,1
185,microsoft/Phi-4-mini-instruct,RAG_500,19.2,0,case_studies,lower extremity arterial disease,None,1,1,5,1,0,1
186,microsoft/Phi-4-mini-instruct,RAG_500,395,1,apdvs,venuous disease,None,0,0,4,1,1,1
187,microsoft/Phi-4-mini-instruct,RAG_500,432,1,case_studies,aortic disorders,None,0,0,5,4,0,0
188,microsoft/Phi-4-mini-instruct,RAG_500,38.3,0,case_studies,other,None,0,0,5,3,0,0
189,microsoft/Phi-4-mini-instruct,RAG_500,23.3,1,case_studies,lower extremity arterial disease,None,1,0,7,1,0,1
190,microsoft/Phi-4-mini-instruct,RAG_500,14.5,0,case_studies,lower extremity arterial disease,None,0,1,4,1,0,1
191,microsoft/Phi-4-mini-instruct,RAG_500,417,0,case_studies,aortic disorders,None,0,0,4,4,0,0
192,microsoft/Phi-4-mini-instruct,RAG_500,84,0,prep,other,None,1,0,4,1,0,1
193,microsoft/Phi-4-mini-instruct,RAG_500,31.5,0,case_studies,aortic disorders,None,0,0,4,4,0,0
194,microsoft/Phi-4-mini-instruct,RAG_500,48.9,1,case_studies,venuous disease,None,0,1,4,2,0,0
195,microsoft/Phi-4-mini-instruct,RAG_500,15.5,0,case_studies,lower extremity arterial disease,None,1,0,5,2,0,0
196,microsoft/Phi-4-mini-instruct,RAG_500,36.5,0,case_studies,aortic disorders,None,0,1,3,2,0,0
197,microsoft/Phi-4-mini-instruct,RAG_500,50.2,1,case_studies,venuous disease,None,0,0,5,1,0,1
198,microsoft/Phi-4-mini-instruct,RAG_500,33.2,0,case_studies,venuous disease,None,0,0,5,2,0,0
199,microsoft/Phi-4-mini-instruct,RAG_500,47.4,0,case_studies,venuous disease,None,0,0,4,4,0,0
200,microsoft/Phi-4-mini-instruct,RAG_500,27.8,1,case_studies,lower extremity arterial disease,None,1,0,5,1,0,1
201,microsoft/Phi-4-mini-instruct,RAG_500,50,1,racs,carotid disorders,None,0,0,4,1,0,1
202,microsoft/Phi-4-mini-instruct,RAG_500,56.4,1,case_studies,venuous disease,None,1,0,5,1,0,1
203,microsoft/Phi-4-mini-instruct,RAG_500,81,1,prep,other,None,1,0,4,1,0,1
204,microsoft/Phi-4-mini-instruct,RAG_500,418,1,case_studies,aortic disorders,None,0,1,4,1,0,1
205,microsoft/Phi-4-mini-instruct,RAG_500,6a,1,apdvs,carotid disorders, lq,1,1,5,1,1,1
206,microsoft/Phi-4-mini-instruct,RAG_500,30.1,0,case_studies,lower extremity arterial disease,None,1,0,4,3,0,0
207,microsoft/Phi-4-mini-instruct,RAG_500,56.8,1,case_studies,venuous disease,None,1,0,5,1,0,1
208,microsoft/Phi-4-mini-instruct,RAG_500,49.6,0,case_studies,venuous disease,None,0,0,4,3,0,0
209,microsoft/Phi-4-mini-instruct,RAG_500,385,1,apdvs,lower extremity arterial disease,None,0,1,5,1,1,1
210,microsoft/Phi-4-mini-instruct,RAG_500,13,0,racs,other,None,0,1,5,1,0,1
211,microsoft/Phi-4-mini-instruct,RAG_500,40.6,0,case_studies,venuous disease,None,1,0,5,3,0,0
212,microsoft/Phi-4-mini-instruct,RAG_500,30.3,1,case_studies,endovascular surgery,None,0,0,5,1,0,1
213,microsoft/Phi-4-mini-instruct,RAG_500,442,0,case_studies,venuous disease,None,0,0,4,2,0,0
214,microsoft/Phi-4-mini-instruct,RAG_500,33.1,0,case_studies,venuous disease,None,1,0,4,1,0,1
215,microsoft/Phi-4-mini-instruct,RAG_500,26.5,0,case_studies,lower extremity arterial disease,None,0,0,5,2,0,0
216,microsoft/Phi-4-mini-instruct,RAG_500,27.6,0,case_studies,lower extremity arterial disease,None,1,1,6,5,0,0
217,microsoft/Phi-4-mini-instruct,RAG_500,66,0,racs,other,None,0,0,4,3,0,0
218,microsoft/Phi-4-mini-instruct,RAG_500,40,0,racs,venuous disease,None,0,0,5,1,0,1
219,microsoft/Phi-4-mini-instruct,RAG_500,55,1,racs,venuous disease,None,0,0,4,2,0,0
220,microsoft/Phi-4-mini-instruct,RAG_500,56.ten,1,case_studies,venuous disease,None,1,1,5,1,0,1
221,microsoft/Phi-4-mini-instruct,RAG_500,23.4,1,case_studies,lower extremity arterial disease,None,1,0,3,1,0,1
222,microsoft/Phi-4-mini-instruct,RAG_500,46.3,1,case_studies,other,None,1,0,5,1,0,1
223,microsoft/Phi-4-mini-instruct,RAG_500,32.5,1,case_studies,aortic disorders,None,0,0,5,1,0,1
224,microsoft/Phi-4-mini-instruct,RAG_500,20,0,racs,other,None,0,0,4,2,0,0
225,microsoft/Phi-4-mini-instruct,RAG_500,18.7,0,case_studies,lower extremity arterial disease,None,1,0,4,1,0,1
226,microsoft/Phi-4-mini-instruct,RAG_500,372,1,apdvs,carotid disorders,None,1,0,5,1,1,1
227,microsoft/Phi-4-mini-instruct,RAG_500,54.2,0,case_studies,venuous disease,None,1,1,4,2,0,0
228,microsoft/Phi-4-mini-instruct,RAG_500,47.6,0,case_studies,venuous disease,None,1,0,4,1,0,1
229,microsoft/Phi-4-mini-instruct,RAG_500,34,0,racs,other,None,0,1,4,2,0,0
230,microsoft/Phi-4-mini-instruct,RAG_500,46.4,1,case_studies,other,None,1,0,5,1,0,1
231,microsoft/Phi-4-mini-instruct,RAG_500,40.2,1,case_studies,venuous disease,None,1,0,5,4,0,0
232,microsoft/Phi-4-mini-instruct,RAG_500,82,1,prep,venuous disease,None,1,0,4,1,0,1
233,microsoft/Phi-4-mini-instruct,RAG_500,22.5,1,case_studies,lower extremity arterial disease,None,0,0,3,1,0,1
234,microsoft/Phi-4-mini-instruct,RAG_500,391,1,apdvs,venuous disease,None,1,0,4,1,1,1
235,microsoft/Phi-4-mini-instruct,RAG_500,425,1,case_studies,lower extremity arterial disease,None,0,0,4,1,0,1
236,microsoft/Phi-4-mini-instruct,RAG_500,38.2,0,case_studies,venuous disease,None,0,0,8,7,0,0
237,microsoft/Phi-4-mini-instruct,RAG_500,33,0,racs,venuous disease,None,0,0,4,3,0,0
238,microsoft/Phi-4-mini-instruct,RAG_500,48.7,0,case_studies,venuous disease,None,0,1,5,3,0,0
239,microsoft/Phi-4-mini-instruct,RAG_500,4a,1,apdvs,lower extremity arterial disease, lq,1,1,4,1,1,1
240,microsoft/Phi-4-mini-instruct,RAG_500,32.1,1,case_studies,aortic disorders,None,1,0,5,1,0,1
241,microsoft/Phi-4-mini-instruct,RAG_500,19.3,1,case_studies,lower extremity arterial disease,None,1,0,6,1,0,1
