question_id,source,labels,topic,question,answer,explanation
4a,apdvs,"cs, lq",lower extremity arterial disease," A 72-year-old male with diabetes presents to his PCP 's office for a nonhealing ulcer to the plantar aspect of his right foot. Laboratory results and x-ray imaging are unremarkable. On examination, you note that his pulses are nonpalpable. Doppler examination reveals monophasic signals. He has necrotic, nonviable tissue to the base of the wound. There is no erythema or evidence of abscess. The patient has not been taking antibiotics. What is the most likely cause of the non-healing in this scenario?
A. Pressure

B. Infection

C. Inadequate wound care

D. Peripheral vascular (arterial) disease",D,"Peripheral vascular (arterial) disease. This patient has nonpalpable pulses and monophasic doppler signals. Along with necrotic tissue to the wound base, these findings are consistent with peripheral artery disease (PAD). You may choose to order ankle-brachial index/pulse volume recording studies. He should be referred to a vascular specialist for further workup before any intervention is made. He does not have erythema or evidence of abscess on examination, and therefore it is not likely that primary infection is the cause of nonhealing. The scenario does not state what type of wound care the patient was receiving. In the presence of PAD, the type of wound care does not matter as much until the PVD is addressed first. Without adequate blood flow to a wound, the wound will not have the nutrients and cells necessary to heal. Bader MS. Diabetic foot infection. Am Fam Physician. 2008;78(1):71-79."
4b,apdvs,"cs, sq",lower extremity arterial disease,"A 72 year old diabetic man presents with a foot ulcer that is not healing. The wound has necrotic tissue, there is no redness or pus, and his foot pulses are absent. Doppler exam shows monophasic signals. What is the most likely reason the wound isn't healing?
A. Pressure

B. Infection

C. Inadequate wound care

D. Peripheral vascular (arterial) disease",D,"Peripheral vascular (arterial) disease. This patient has nonpalpable pulses and monophasic doppler signals. Along with necrotic tissue to the wound base, these findings are consistent with peripheral artery disease (PAD). You may choose to order ankle-brachial index/pulse volume recording studies. He should be referred to a vascular specialist for further workup before any intervention is made. He does not have erythema or evidence of abscess on examination, and therefore it is not likely that primary infection is the cause of nonhealing. The scenario does not state what type of wound care the patient was receiving. In the presence of PAD, the type of wound care does not matter as much until the PVD is addressed first. Without adequate blood flow to a wound, the wound will not have the nutrients and cells necessary to heal. Bader MS. Diabetic foot infection. Am Fam Physician. 2008;78(1):71-79."
5a,apdvs,"cs, lq",lower extremity arterial disease,"A 56-year-old male with hypertension, diabetes presents to the emergency department with redness and purulence draining from his right great toe. His heart rate is 110 beats/min, his blood pressure is 100/80 mm Hg, and his temperature is 38.5ºC. Laboratory tests show a white blood count of 14,000/µL. An x-ray of his foot is performed, which demonstrates gas in his right great toe. What is the best course of treatment?
A. Outpatient treatment with oral antibiotics and dressing changes.

B. Inpatient treatment with intravenous antibiotics alone.

C. Inpatient treatment with intravenous antibiotics and dressing changes.

D. Inpatient treatment with intravenous antibiotics and emergent surgical debridement .",D,"Inpatient treatment with intravenous antibiotics and emergent surgical debridement. This patient is septic from a diabetic wound infection. He is febrile and tachycardic, and he has relative hypotension. This type of patient should not be treated as an outpatient. The correct treatment course involves admission, broad-spectrum antibiotics, and source control with surgical debridement. Gas in the tissues on x-ray in the setting of an infection is an ominous sign and should always prompt surgical debridement. Hence, admission with intravenous antibiotics alone or admission with intravenous and dressing changes alone are inadequate management. Hingorani A, LaMuraglia GM, Henke P, et al. The management of diabetic foot: a clinical practice guideline by the Society for Vascular Surgery in collaboration with the American Podiatric Medical Association and the Society for Vascular Medicine. J Vasc Surg. 2016;63(2S):3S-21S."
5b,apdvs,"cs, sq",lower extremity arterial disease,"A 56-year-old man with diabetes presents with redness, pus, and swelling of his right great toe. He has a fever (38.5°C), fast heart rate (110 bpm), and low blood pressure (100/80 mmHg). An x-ray shows gas in the soft tissue of the toe. What is the best course of treatment?
A. Outpatient treatment with oral antibiotics and dressing changes.

B. Inpatient treatment with intravenous antibiotics alone.

C. Inpatient treatment with intravenous antibiotics and dressing changes.

D. Inpatient treatment with intravenous antibiotics and emergent surgical debridement .",D,"Inpatient treatment with intravenous antibiotics and emergent surgical debridement. This patient is septic from a diabetic wound infection. He is febrile and tachycardic, and he has relative hypotension. This type of patient should not be treated as an outpatient. The correct treatment course involves admission, broad-spectrum antibiotics, and source control with surgical debridement. Gas in the tissues on x-ray in the setting of an infection is an ominous sign and should always prompt surgical debridement. Hence, admission with intravenous antibiotics alone or admission with intravenous and dressing changes alone are inadequate management. Hingorani A, LaMuraglia GM, Henke P, et al. The management of diabetic foot: a clinical practice guideline by the Society for Vascular Surgery in collaboration with the American Podiatric Medical Association and the Society for Vascular Medicine. J Vasc Surg. 2016;63(2S):3S-21S."
6a,apdvs,"cs, lq",carotid disorders,"A 56-year-old man with chronic rate-controlled atrial fibrillation stopped coumadin prior to a colonoscopy 1 week ago. He is otherwise healthy and takes no other medications. He presents with pain in his left calf after walking two miles in 90 degree temperatures. He is found to have both absent pulses and doppler signals in both his dorsalis pedis and posterior tibial arteries in that leg. This is accompanied by pallor and pain. What is the most likely etiology?
A. Embolus as a result of his atrial fibrillation.

B. Embolus that originated from an aortic plaque.

C. Paradoxical embolus.

D. Thrombosis from hypotension.

E. Thrombosis from hypercoagulability",A,"Embolus as a result of his atrial fibrillation. The two major causes of acute arterial occlusion are emboli and thrombosis. An embolic source accounts for 80% of cases. Sources of emboli include the heart, usually in patients with a history of atrial fibrillation or myocardial infarction or valvular heart disease. A proximal arterial source, usually an atherosclerotic plaque or aneurysm, or a paradoxical emboli, in which venous emboli cross a patent foramen ovale to embolize in the arterial tree, are also common sources of an occlusive embolus. The most common sites in the lower extremity for emboli to become lodged are, in descending order, the femoral, iliac, aorta, and popliteal arteries. While a paradoxical embolus is possible, it is less common. This patient is relatively healthy, so hypotension is unlikely. The patient is not hypercoagulable."
6b,apdvs,"cs, sq",lower extremity arterial disease,"A 56-year-old man with chronic atrial fibrillation stopped taking warfarin 7 days ago for a colonoscopy. He now presents with sudden pain and pallor in his left leg after a long walk in hot weather. Exam shows absent pedal pulses and no Doppler signals in the affected leg. What is the most likely cause?
A. Embolus as a result of his atrial fibrillation.

B. Embolus that originated from an aortic plaque.

C. Paradoxical embolus.

D. Thrombosis from hypotension.

E. Thrombosis from hypercoagulability",A,"Embolus as a result of his atrial fibrillation. The two major causes of acute arterial occlusion are emboli and thrombosis. An embolic source accounts for 80% of cases. Sources of emboli include the heart, usually in patients with a history of atrial fibrillation or myocardial infarction or valvular heart disease. A proximal arterial source, usually an atherosclerotic plaque or aneurysm, or a paradoxical emboli, in which venous emboli cross a patent foramen ovale to embolize in the arterial tree, are also common sources of an occlusive embolus. The most common sites in the lower extremity for emboli to become lodged are, in descending order, the femoral, iliac, aorta, and popliteal arteries. While a paradoxical embolus is possible, it is less common. This patient is relatively healthy, so hypotension is unlikely. The patient is not hypercoagulable."
7a,apdvs,"cs, lq",lower extremity arterial disease,"A 74 year old male with a history of metastatic pancreatic cancer, hypertension, prior HTN, hyperlipidemia presents to the ED with acute onset pain in his right leg. CT scan shows cutoff sign at the P3 segment just proximal to the right tibial trifurcation. In addition to pain, the patient endorses decreased sensation of his right lower leg. On exam his right leg is cool to touch and has absent pedal and popliteal doppler signals. What is the first step in management of this patient?
A. Emergent open surgical embolectomy with bypass

B. Catheter based thrombolysis

C. Percutaneous fogarty thrombectomy

D. Start a therapeutic heparin drip",D,"Start a therapeutic heparin drip. The first step in treatment of acute limb ischemia before any intervention is considered or initiated is systemic anticoagulation with heparin or a direct thrombin inhibitor in the case of a heparin allergy. In fact, if there is a high suspicion for ALI with no Heparin may even be started during the diagnostic work-up if there is a high clinical suspicion of ALI."
7b,apdvs,"cs, sq",lower extremity arterial disease,"A 74-year-old man with metastatic cancer and diabetes presents with sudden pain and numbness in his right leg. Exam shows the leg is cool, with no pulses and no Doppler signals. A CT scan shows arterial blockage just above the tibial arteries. What is the first step in treatment?
A. Emergent open surgical embolectomy with bypass

B. Catheter based thrombolysis

C. Percutaneous fogarty thrombectomy

D. Start a therapeutic heparin drip",D,"Start a therapeutic heparin drip. The first step in treatment of acute limb ischemia before any intervention is considered or initiated is systemic anticoagulation with heparin or a direct thrombin inhibitor in the case of a heparin allergy. In fact, if there is a high suspicion for ALI with no Heparin may even be started during the diagnostic work-up if there is a high clinical suspicion of ALI."
8a,apdvs,"cs, lq",venuous disease,"A 55-year-old male presents with aching legs, swelling, and skin discoloration. Physical examination reveals dilated veins and hyperpigmentation. Which diagnostic modality is most appropriate initially?
A. Magnetic resonance imaging (MRI)

B. Venous duplex ultrasound

C. Arterial Doppler ultrasound

D. Computed tomography (CT) scan",B,"Venous duplex ultrasound is the initial diagnostic study of choice for evaluating chronic venous disease. It helps detect venous obstruction or reflux, which are critical in diagnosing and planning management for patients with symptoms like aching legs, swelling, and skin changes indicative of venous insufficiency. MRI, arterial Doppler ultrasound, and CT scan are not typically used as initial diagnostic tests for chronic venous disease."
8b,apdvs,"cs, sq",venuous disease,"A 55-year-old man presents with aching legs, ankle swelling, and dark skin on his lower legs. Exam shows dilated superficial veins. What is the most appropriate first test?
A. Magnetic resonance imaging (MRI)

B. Venous duplex ultrasound

C. Arterial Doppler ultrasound

D. Computed tomography (CT) scan",B,"Venous duplex ultrasound is the initial diagnostic study of choice for evaluating chronic venous disease. It helps detect venous obstruction or reflux, which are critical in diagnosing and planning management for patients with symptoms like aching legs, swelling, and skin changes indicative of venous insufficiency. MRI, arterial Doppler ultrasound, and CT scan are not typically used as initial diagnostic tests for chronic venous disease."
9a,apdvs,"cs, lq",venuous disease,"A patient with chronic venous insufficiency (CVI) presents with a venous ulcer that has failed to heal with conservative measures. What is the next appropriate step in management?
A. Initiate high-dose oral antibiotics

B. Perform surgical ligation of perforator veins

C. Consider endovenous ablation of refluxing superficial veins

D. Apply topical corticosteroids",C,"Consider endovenous ablation of refluxing superficial veins. For patients with chronic venous insufficiency (CVI) and non-healing venous ulcers, consideration should be given to endovenous ablation of refluxing superficial veins to reduce venous hypertension and promote ulcer healing. High-dose antibiotics, surgical ligation of perforator veins, and topical corticosteroids are not primary treatments for CVI-related ulcers."
9b,apdvs,"cs, sq",venuous disease,"A patient with chronic venous insufficiency has a leg ulcer that has not improved with compression and wound care. What is the next step in management?
A. Initiate high-dose oral antibiotics

B. Perform surgical ligation of perforator veins

C. Consider endovenous ablation of refluxing superficial veins

D. Apply topical corticosteroids",C,"Consider endovenous ablation of refluxing superficial veins. For patients with chronic venous insufficiency (CVI) and non-healing venous ulcers, consideration should be given to endovenous ablation of refluxing superficial veins to reduce venous hypertension and promote ulcer healing. High-dose antibiotics, surgical ligation of perforator veins, and topical corticosteroids are not primary treatments for CVI-related ulcers."
10a,apdvs,"cs, lq",lower extremity arterial disease,"A 63-year-old smoker presents to the clinic with left lower extremity claudication and an ischemic ulcer. He is taken to the operating room for an angiogram via right groin access. Which of the following steps is INCORRECT when obtaining arterial access?
A. Using anatomic landmarks to confirm cannulation through the inguinal ligament

B. Using ultrasound to ensure cannulation of the common femoral artery

C. Using fluoroscopy to ensure puncture at the level of the femoral head

D. Using the Seldinger technique for first access, making sure not to lose access to the artery during exchanges or wires and catheters.",A,"Using anatomic landmarks to confirm cannulation through the inguinal ligament. On first access for an angiogram with right groin access, the right common femoral artery should be accessed. The CFA begins below the level of the inguinal ligament, making answer A incorrect. One should avoid going through the inguinal ligament as native fascial planes are disrupted and it can make for challenging upsizing of devices and closure. Following identification of the inguinal ligament; ultrasound, fluoroscopy, and the Seldinger technique should be used as above to safely cannulate the CFA."
10b,apdvs,"cs, sq",lower extremity arterial disease,"A 63-year-old man with leg claudication and an ischemic ulcer is taken for an angiogram using right groin access. Which of the following steps is incorrect when obtaining arterial access?
A. Using anatomic landmarks to confirm cannulation through the inguinal ligament

B. Using ultrasound to ensure cannulation of the common femoral artery

C. Using fluoroscopy to ensure puncture at the level of the femoral head

D. Using the Seldinger technique for first access, making sure not to lose access to the artery during exchanges or wires and catheters.",A,"Using anatomic landmarks to confirm cannulation through the inguinal ligament. On first access for an angiogram with right groin access, the right common femoral artery should be accessed. The CFA begins below the level of the inguinal ligament, making answer A incorrect. One should avoid going through the inguinal ligament as native fascial planes are disrupted and it can make for challenging upsizing of devices and closure. Following identification of the inguinal ligament; ultrasound, fluoroscopy, and the Seldinger technique should be used as above to safely cannulate the CFA."
11a,apdvs,"cs, lq",aortic disorders,"A 75-year-old male with history of hypertension, hyperlipidemia, diabetes and degenerative disk disease presents to the emergency department with abdominal pain and a blood pressure of 90/60 mm Hg. The emergency department physician already obtained a CT scan showing what appears to be a contained rupture of an infrarenal abdominal aortic aneurysm. What is the next step in management?
A. Resuscitate the patient to ensure a systolic blood pressure of at least 120 mm Hg.

B. Two large bore IVs and admission to the ICU for closer monitoring.

C. Transfer to the operating room for emergent repair of the aneurysm.

D. Corroboration of the CT scan with an abdominal ultrasound.

E. Contact the next of kin to request their presence at bedside for a family meeting.",C,
11b,apdvs,"cs, sq",aortic disorders,"A 75-year-old man with diabetes, hypertension, and known abdominal aortic aneurysm presents with sudden abdominal pain and low blood pressure (90/60 mmHg). A CT scan shows a contained rupture of the aneurysm below the kidneys. What should be done next?
A. Resuscitate the patient to ensure a systolic blood pressure of at least 120 mm Hg.

B. Two large bore IVs and admission to the ICU for closer monitoring.

C. Transfer to the operating room for emergent repair of the aneurysm.

D. Corroboration of the CT scan with an abdominal ultrasound.

E. Contact the next of kin to request their presence at bedside for a family meeting.",C,
12,racs,gk,other,"Which of the below statements are true?

A. Beta blockers are used secondary prevention of myocardial infarction
B. Beta blockers are used in treatment of pulmonary hypertension
C. Beta blockers are a Class 1 antidysrhythmic drug
D. Beta blockers increase refractory period of the AV node","A, D",
13,racs,gk,other,"Which of the below statements are true?

A. In the immediate (type 1) hypersensitivity reaction, mast cell activation is not affected by phospholipase A2
B. n the immediate (type 1) hypersensitivity reaction, sensitized mast cells with attached IgA antibodies are activated to release granules
C. In the immediate (type 1) hypersensitivity reaction, T helper 1 (Th 1) cell responses in Type 1 hypersensitivity reactions are typically excessive
D. In the immediate (type 1) hypersensitivity reaction, there may only be a localized reaction
E. In the immediate (type 1) hypersensitivity reaction, the late-phase reaction requires additional exposure to antigen and may last for several days",D,
14,racs,gk,other,"With respect to angiogenesis during healing, which of the following is true?

A. Nitric oxide (NO) production is suppressed, which stimulates sprouting of new vessels
B. the Notch signalling pathway ensures proper spacing of new vessels
C. TGF-beta stimulates endothelial proliferation
D. Fibroblast growth factors (FGFs) suppress endothelial proliferation",B,
15,racs,gk,other,"Platelet activating factor (PAF) does which of the following? (select all that apply)

A. causes bronchoconstriction
B. increases venular permeability
C. production is inhibited by COX-2 inhibitors
D. can be produced by endothelial cell","A, B, D",
16,racs,gk,other," After injury to the wall of a blood vessel, which of the following is/are true? (select all that apply)

A. platelet adhesion and aggregation contribute to the temporary haemostatic plug
B. activation of coagulation by the intrinsic system contributes to the definitive haemostatic plug
C. local vasoconstriction contributes to the temporary haemostatic plug
D. he conversion of fibrinogen is activated by thrombin","A, B, C, D",
17,racs,gk,aortic disorders,"Long term compensatory mechanisms to moderate haemorrhage include (select all that apply):

A. mobilization of protein free extravascular fluid
B. mobilization of preformed albumin from intravascular stores
C. hepatic synthesis of protein
D. increased red cell 2,3-DPG","A, C, D",
18,racs,gk,other,"Consequences of insulin deficiency in type 1 diabetes mellitus include (select all that apply):

A. decreased glucose uptake by cells
B. decreased protein catabolism
C. increased plasma free fatty acids
D. peripheral oedema","A, C",
19,racs,gk,venuous disease,"Which of the following are true? (select all that apply)
A. The inferior vena cava is formed anterior to the third lumbar vertebra
B. The inferior vena cava leaves the abdomen at the level of the eighth thoracic vertebra
C. The inferior vena cava is anterior to the epiploic foramen
D. The inferior vena cava receives the right suprarenal vein","B, D",
20,racs,gk,other,"Renin secretion is increased by (select all that apply):

A. decreased sodium (Na+) exchange in the macula densa
B. vasopressin
C. hypokalaemia
D. inhibition of renal sympathetic nerve activity","A, C",
21,racs,gk,aortic disorders,"Low density lipoprotein (LDL) does which of the following? (select all that apply)

A. contains more triglyceride than cholesterol
B. contains cholesterol predominantly in the unesterified form
C. originates primarily in the intestine
D. is derived in part from VLDL in the circulation",D,
22,racs,gk,other,"Adverse effects of ionising radiation include (select all that apply) :

A. fibrosis of salivary glands
B. cataracts of the lens
C. carcinoma of the thyroid
D. decrease of dopamine reuptake in the central nervous system","A, B, C",
23,racs,gk,aortic disorders,"With regard to unfractionated heparin, which of the following are true?

A. the anticoagulant effect is more readily reversed by protamine than low molecular weight heparins
B. osteoporosis occurs with chronic use
C. heparin-induced thrombocytopenia type 2 is an absolute contraindication to continued use
D. hyperkalaemia can occur with prolonged use","A, B, C, D",
